refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere
BEPMAM,C[C@@H](C(=O)O)NCc1ccncc1,Zn,9.64975,9.56872,9.6441
BEPMEQ,C[C@@H](C(=O)O)NCc1ccncc1,Zn,10.20776,10.09526,10.20776
BEPNIV,C[C@@H](C(=O)O)NCc1ccncc1,Zn,8.14408,8.04135,8.14086
BEPNUH,C[C@@H](C(=O)O)NCc1ccncc1,Zn,10.31257,10.20612,10.31257
BEPPIX,CC([C@@H](C(=O)O)NCc1ccncc1)C,Zn,7.71852,7.60093,7.71852
BEPPOD,CC([C@@H](C(=O)O)NCc1ccncc1)C,Zn,9.61884,9.49812,9.61884
BEQKAM,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Zn,11.58722,3.81007,11.58722
BEXQOL,N#CNC#N,Co,8.04915,5.31359,8.04915
BEXQUR,N#CNC#N,Ni,8.07729,5.36514,8.04983
BEZSEG,OC(=O)CCC(=O)O,Co,1.62221,1.25618,1.62221
BIGJEJ,OC(=O)c1ccc(cc1)/C=C/c1ccc(cc1)C(=O)O,Mn,1.92535,1.42883,1.91769
BIHRUI,OC(=O)c1cc(C#Cc2ccc(cc2)C(=O)O)cc(c1)C#Cc1ccc(cc1)C(=O)O,Cu,15.67829,9.96908,15.67829
BINRUN,OC(=O)c1ccc2c(c1)ccc(c2)c1cc(cc(c1)c1ccc2c(c1)ccc(c2)C(=O)O)c1ccc2c(c1)ccc(c2)C(=O)O,Zn,21.10968,6.38278,21.09601
BOBTIW,CCc1[nH]nc(n1)CC,Cu,7.46468,1.46246,5.63102
BOBTOC,CCc1[nH]nc(n1)CC,Cu,6.25638,1.55934,6.25638
BODPAN,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,11.00022,5.27879,10.96834
BOMCUB,OC(=O)C(=O)O,In,3.43433,2.96688,3.43433
BONWAD,OC(=O)[C@@H]1O[C@@H]([C@H]([C@H]1C(=O)O)C(=O)O)C(=O)O,Zn,3.07987,1.40238,2.8762
BOPHIZ,OC(=O)c1cc(c2cccc(c2)C(=O)O)c(cc1c1cccc(c1)C(=O)O)C(=O)O,Cd,6.90751,3.65302,6.89905
BOVHEB,OC(=O)c1ccc(cc1)c1ccc(cc1)c1nnn[nH]1,Zn,5.46444,1.81617,5.0181
BOWDIC,OC(=O)c1ccncc1,Co,7.01096,4.61744,6.97011
BOWDOI,OC(=O)c1ccncc1,Co,7.17275,4.82036,7.12246
BUNLAZ,OC(=O)c1ccc(cc1)c1ccc(cc1)C(=C(c1ccc(cc1)c1ccc(cc1)C(=O)O)c1ccc(cc1)c1ccc(cc1)C(=O)O)c1ccc(cc1)c1ccc(cc1)C(=O)O,Zr,38.39635,36.09314,38.39635
BUPVIT,OC(=O)c1ccc(cc1)C(=O)O,Ce,9.45259,4.11606,9.42916
BUQWER,OC(=O)c1cccnc1,Cu,2.53798,1.44087,2.50073
BUVNIR,OC(=O)c1ccncc1,Zn,4.81354,2.26976,4.81354
BUXTIZ,n1ccnc(c1)Cc1nccnc1,Ag,4.79287,3.42948,4.28268
CADPII,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Zn,5.8421,5.06298,5.8305
CAHMAZ,OC(=O)C(=O)O,Bi,4.94441,3.70036,4.94441
CAJHUS,OC=O,Fe,2.92677,2.42135,2.92677
CAJHUS01,OC=O,Fe,2.94774,2.27231,2.94375
CAJHUS03,OC=O,Fe,2.93028,2.42471,2.93028
CAJHUS04,OC=O,Fe,2.93193,2.42694,2.93193
CAQHEK,OC(=O)c1cc(O)c(cc1O)C(=O)O,Tb,3.11515,1.51502,3.1082
CAQJOW,OC(=O)c1cc(c2ccc(cc2)C(=O)O)c(cc1c1ccc(cc1)C(=O)O)C(=O)O,Co,4.17162,1.93328,4.13966
CAQKAJ01,OC(=O)c1cc(c2ccc(cc2)C(=O)O)c(cc1c1ccc(cc1)C(=O)O)C(=O)O,Co,4.31026,3.33291,4.28833
CAVMIW,OC(=O)C(=O)O,Fe,3.81852,3.11161,3.81852
CAVMUJ01,OC(=O)c1ccc(cc1)C(=O)O,Sc,2.33589,1.37745,2.31229
CAVMUJ02,OC(=O)c1ccc(cc1)C(=O)O,Sc,2.6724,1.64223,2.6724
CAXVOO,OC(=O)c1cc(O)c(cc1O)C(=O)O,Fe,11.61823,10.81437,11.61664
CAXZOS,OC(=O)c1ccc(cc1)c1ccncc1,Co,9.21875,5.5593,8.32678
CAYDOX01,O(CCc1nnn[nH]1)CCc1nnn[nH]1,Cu,5.1864,5.02601,5.1864
CAYDOX03,O(CCc1nnn[nH]1)CCc1nnn[nH]1,Cu,5.18598,5.02281,5.18598
CAYDOX04,O(CCc1nnn[nH]1)CCc1nnn[nH]1,Cu,5.14847,4.99439,5.14847
CAYDUD,O(CCc1nnn[nH]1)CCc1nnn[nH]1,Cu,5.16273,4.98367,5.16273
CAYGIU,O(CCc1nnn[nH]1)CCc1nnn[nH]1,Cu,5.16264,4.99038,5.16264
CAYQAV,OC(=O)c1[nH]nc(c1)C(=O)O,Ce,1.8071,0.94022,1.79982
CEBGAS,O=C(CSc1ccncc1)CSc1ccncc1,Co,4.26718,1.93439,4.26387
CEHKUW,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cd,5.88571,4.00517,5.88474
CEHLAD,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Zn,6.07522,4.37462,5.87953
CEJFOO,OC(=O)c1cccnc1,Co,3.2115,1.42169,2.73214
CEJXOG,OC(=O)c1ccc(cc1)C(=O)O,Er,1.81948,1.19902,1.81671
CEKYIC,O[C@H]([C@H](C(=O)O)O)C(=O)O,Cd,3.93022,0.69708,1.22627
CELDAA,OC(=O)c1ccc(cc1)C(=O)O,Ce,2.10775,0.85524,2.10775
CENQAP,OC(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)C(=O)O)c1ccc(cc1)c1ccc(cc1)C(=O)O,Zn,15.21239,13.05982,15.20554
CETFUD,OC(=O)CCCCCCC(=O)O,Pr,4.68679,3.5402,4.68679
CEVKET,N#C/C=C\C#N,Cu,1.67894,0.94018,1.67581
CEVVIJ,OC(=O)c1cnccn1,Mn,1.63709,0.96579,1.63709
CIFMIP,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Co,7.12759,4.35844,7.12759
CIFSAO,OC(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,In,12.08308,7.37407,12.08308
CIFSES,OC(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,In,12.18497,7.30804,11.98743
CIPLIX,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Co,4.38327,3.81414,4.37097
CIQHOC,OC(=O)c1ccc(nc1)c1ccc(cn1)C(=O)O,Zn,4.85935,4.22338,4.85935
CIYZAM,OC(=O)c1ccc(s1)C(=O)O,Dy,1.62044,0.75337,1.59717
CIZQOT,OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O,Zn,6.33668,3.86842,6.06061
CIZQUZ,OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O,Zn,7.33339,4.24411,7.21695
COFORM01,OC=O,Co,1.81503,0.93077,1.80647
COFORM11,OC=O,Co,1.77484,0.89269,1.76152
COKMEW,OC(=O)c1cc(O)c(cc1O)C(=O)O,Fe,11.49613,10.90273,11.49449
COKMIA,OC(=O)c1cc(O)c(cc1O)C(=O)O,Co,11.45601,10.75448,11.45601
COKNIB01,OC(=O)c1cc(O)c(cc1O)C(=O)O,Cu,11.38762,10.62301,11.38708
COKNIB02,OC(=O)c1cc(O)c(cc1O)C(=O)O,Cu,11.32968,10.57016,11.32895
COKNOH,OC(=O)c1cc(O)c(cc1O)C(=O)O,Fe,11.60111,11.00288,11.60111
COKNOH01,OC(=O)c1cc(O)c(cc1O)C(=O)O,Fe,11.61869,10.85763,11.61711
COKPOJ,OC(=O)c1cc(O)c(cc1O)C(=O)O,Co,7.51022,5.16377,7.38698
COKPUP,OC(=O)c1cc(O)c(cc1O)C(=O)O,Zn,7.20859,5.06349,7.20788
COKQIE,OC(=O)c1cc(O)c(cc1O)C(=O)O,Fe,11.52099,11.05429,11.51936
COMDOY,OC(=O)c1ccc(cc1)C(=O)O,Ga,6.12704,5.54778,6.12704
COTXEQ,Nn1c(nnc1c1cccc(c1)c1ccncc1)c1cccc(c1)c1ccncc1,Cd,5.14726,4.24065,5.13338
COTXIU,Nn1c(nnc1c1cccc(c1)c1ccncc1)c1cccc(c1)c1ccncc1,Cd,5.20924,4.31105,5.19843
COTXOA,Nn1c(nnc1c1cccc(c1)c1ccncc1)c1cccc(c1)c1ccncc1,Cd,5.06649,4.15335,5.05659
COWSAJ,FC(c1nnc([nH]1)C(F)(F)F)(F)F,Ag,5.81447,5.02535,5.81447
COXFOL,OC(=O)c1cccc(c1)C(=O)O,Co,4.9258,3.22314,4.40364
COZGED01,O[C@H]([C@H](C(=O)O)O)C(=O)O,Na,1.94308,0.74454,1.8815
CUFDOX,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,In,6.24795,5.53023,6.24795
CUFFIT,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,In,6.2822,5.54383,6.27747
CUFFUF,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,In,6.2074,5.50301,6.2074
CUFJUK,OC(=O)c1cc(c2cccc(c2)C(=O)O)c(cc1c1cccc(c1)C(=O)O)C(=O)O,Co,1.75525,1.11969,1.75525
CUFORD,OC=O,Cu,1.67338,0.9267,1.65468
CUFORD01,OC=O,Cu,1.68509,0.94356,1.68509
CUFORM,OC=O,Cu,1.6314,0.92719,1.38101
CUFORM02,OC=O,Cu,1.66488,0.82401,1.63836
CUFORM03,OC=O,Cu,1.63301,0.81251,1.60144
CUFORM04,OC=O,Cu,1.63605,0.81124,1.54714
CUPHUS,n1ccc(cc1)c1ccncc1,Cu,5.89143,5.41366,5.85767
CUVTUJ,OC(=O)c1cc(O)c(cc1O)C(=O)O,Co,11.50142,10.88098,11.49969
CUXFIL,OC(=O)c1ccc2c(c1)cc(cc2)C(=O)O,Mn,4.64635,2.62859,4.64635
CUXQIW,OC(=O)c1ccc(cc1)/C=C/c1ccc(cc1)C(=O)O,Tb,2.0545,0.94094,2.0545
DADTOS,OC=O,Mn,3.75178,2.26849,3.75178
DADTOS01,OC=O,Mn,3.74605,2.2681,3.74605
DADTOS02,OC=O,Mn,3.70934,2.23465,3.70934
DADTOS03,OC=O,Mn,3.69544,2.31351,3.68643
DADTOS04,OC=O,Mn,3.73448,2.26006,3.73448
DADTOS05,OC=O,Mn,3.74794,2.27058,3.74794
DADTOS06,OC=O,Mn,3.74409,2.27151,3.74409
DADTOS07,OC=O,Mn,3.67587,2.29711,3.67587
DADTOS08,OC=O,Mn,3.75266,2.27342,3.75266
DADTOS09,OC=O,Mn,3.75581,2.27613,3.75581
DADTOS10,OC=O,Mn,3.76716,2.31677,3.76716
DADTOS11,OC=O,Mn,3.74827,2.26906,3.74827
DADTOS12,OC=O,Mn,3.73952,2.26888,3.73952
DADTOS13,OC=O,Mn,3.69569,2.21248,3.69569
DADTOS14,OC=O,Mn,3.60528,2.13567,3.60528
DADTOS15,OC=O,Mn,3.47523,2.01949,3.47523
DADTOS17,OC=O,Mn,3.35814,1.89074,3.35814
DADTOS18,OC=O,Mn,3.74361,2.27391,3.74361
DADTUY,OC=O,Co,3.70388,2.20408,3.70388
DADTUY01,OC=O,Co,3.69261,2.16526,3.69261
DADTUY05,OC=O,Co,3.66589,2.1693,3.66589
DADTUY06,OC=O,Co,3.68176,2.17711,3.68176
DADTUY07,OC=O,Co,3.6689,2.15528,3.6689
DADTUY09,OC=O,Co,3.61291,2.12318,3.61291
DADTUY10,OC=O,Co,3.53653,2.05503,3.53392
DADTUY11,OC=O,Co,3.46247,1.99133,3.46247
DADTUY12,OC=O,Co,3.64906,2.16037,3.64906
DADVAG01,OC=O,Ni,3.68805,2.19844,3.68805
DADVAG03,OC=O,Ni,3.54127,2.06582,3.54127
DADVAG06,OC=O,Ni,3.45012,1.97031,3.45012
DADVAG07,OC=O,Ni,3.41706,1.97204,3.41706
DADXUE,OC(=O)c1ccc2c(c1)ccc(c2)C(=O)O,Cd,3.56075,1.62999,3.53046
DAHMIJ,OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O,Cd,2.18894,1.01261,2.18862
DALSAN,OC(=O)C(=O)O,Fe,3.95914,2.93827,3.92876
DALSER,OC(=O)C(=O)O,Fe,4.08249,3.08769,4.08249
DANWAS,n1nnc([nH]1)c1cc(cc(c1)c1n[nH]nn1)c1nnn[nH]1,Zn,8.43094,7.70663,8.43094
DANZEX,N#CNC#N,Mn,1.9944,1.12844,1.99303
DAPYAW,OC(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Cd,9.7187,4.38138,9.71586
DAQRET01,OC(=O)/C=C/C(=O)O,Eu,4.70613,1.13736,4.69881
DAWCIP,OC(=O)c1ccc(cc1)C(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Zn,7.0602,5.49224,6.65132
DAXNIA,OC=O,Zn,3.67615,2.19505,3.67615
DAXNIA01,OC=O,Zn,3.71201,2.22283,3.71201
DAXNIA03,OC=O,Zn,3.7177,2.2252,3.71293
DAXNIA04,OC=O,Zn,3.68063,2.19188,3.68063
DEFNEK,OC=O,Fe,2.5362,0.96318,2.5362
DEFNIO,OC=O,Co,2.42594,0.99761,2.39567
DEFNOU,OC=O,Ni,2.25499,0.95212,2.24344
DEGSIS,OC(=O)c1cccnc1,Cu,2.5478,1.87656,2.52834
DEGSIS01,OC(=O)c1cccnc1,Cu,2.57994,1.89897,2.54783
DELGIN,OC(=O)c1cc(cc(c1)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Cd,9.6564,9.09602,9.6564
DENGAH,OC(=O)c1cnccn1,Mn,4.16651,3.16881,4.09151
DEPJIR01,OC=O,Zn,3.87002,2.68754,3.86996
DEPXIG,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Mn,2.68255,1.23423,2.67603
DIBQIQ,OC(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Co,8.01861,6.17707,8.01352
DIBXAO,N#CNC#N,Co,2.97269,1.34526,2.96846
DICKEH,OC(=O)c1cc(C#Cc2ccc(cc2)C#Cc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O,Cu,11.3834,6.92393,11.37731
DIDVIW,OC=O,Mn,3.74187,2.27128,3.74187
DIGPER,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Gd,6.08146,5.62893,6.08146
DIHVIB,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,11.38547,5.23531,11.38547
DIHVIB01,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,11.10795,5.23475,11.10078
DIMBOS,C(CCn1nnc2c1cccc2)CCCn1nnc2c1cccc2,Cu,2.95189,1.95835,2.93739
DIRPUR,OC(=O)c1ccc2c(c1)ccc(c2)N(c1ccc2c(c1)ccc(c2)C(=O)O)c1ccc2c(c1)ccc(c2)C(=O)O,Zn,8.54735,6.78966,8.54735
DITTEH,OC(=O)c1ccc(cc1)c1cc(cc(c1)C(=O)O)C(=O)O,Zn,5.50793,4.07205,5.49169
DITXOU,OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O,Zn,5.00365,3.53364,4.98221
DIVSUY,OC(=O)c1ccc(cc1)c1cc(cc(c1)C(=O)O)C(=O)O,Eu,4.26712,3.31829,4.22095
DOHDOU,OC=O,Mg,3.77233,2.26569,3.76968
DOHDOU01,OC=O,Mg,3.68263,2.31318,3.67786
DOHDOU02,OC=O,Mg,3.76517,2.26891,3.76517
DOMCUE,OC(=O)c1c(Cl)c(Cl)c(c(c1Cl)Cl)C(c1c(Cl)c(Cl)c(c(c1Cl)Cl)C(=O)O)c1c(Cl)c(Cl)c(c(c1Cl)Cl)C(=O)O,Tb,17.01658,12.07086,17.01658
DONNAW,OC(=O)c1ccc(cc1)C(=O)O,Ga,6.49774,6.1972,6.46918
DONNAW01,OC(=O)c1ccc(cc1)C(=O)O,Ga,6.66893,6.4006,6.63996
DOTSOV,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.28529,6.69388,13.2526
DOTSOV01,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.26605,6.70864,13.25791
DOTSOV02,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.26758,6.7011,11.13143
DOTSOV03,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.26916,6.69991,13.26291
DOTSOV04,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.27057,6.69982,13.27057
DOTSOV05,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.27265,6.69995,13.27265
DOTSOV06,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.27506,6.69775,13.26692
DOTSOV07,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.27649,6.69813,12.1084
DOTSOV08,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.27874,6.69364,13.27874
DOTSOV09,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.27969,6.69391,13.27155
DOTSOV10,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.2809,6.693,13.2809
DOTSOV11,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.28248,6.69212,13.28248
DOTSOV12,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.28543,6.69498,13.27729
DOTSOV13,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.28678,6.69411,13.28678
DOTSOV14,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.28526,6.69335,13.27711
DOTSOV15,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.28483,6.69498,13.28483
DOTSOV16,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.28437,6.69651,13.28437
DOTSOV17,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.28174,6.69826,13.2736
DOTSOV18,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.28037,6.69526,13.27223
DOTSOV19,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.27857,6.70017,13.27857
DOTSOV20,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.27673,6.70116,13.27673
DOTSOV21,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.27507,6.70388,13.26882
DOTSOV22,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.27507,6.70082,13.27507
DOTSOV23,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.27309,6.70158,13.27309
DOTSOV25,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.2671,6.70526,13.25896
DOTSOV26,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.26659,6.7048,13.26054
DOTSOV27,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.26279,6.70744,13.26279
DOTSOV28,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.26279,6.71096,13.26279
DOTSOV29,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.26928,6.70524,13.26928
DOTSOV30,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.25598,6.70095,13.25598
DOTSOV31,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.25458,6.71033,13.24644
DOTSOV32,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.24443,6.69313,13.23818
